response_id,congruency,concreteness,n,mean_correct
R_3fCqQko0KQrT4Wz,congruent,abstract,10,6
R_3fCqQko0KQrT4Wz,congruent,concrete,10,4
R_3fCqQko0KQrT4Wz,incongruent,abstract,10,9
R_3fCqQko0KQrT4Wz,incongruent,concrete,10,4
