start_date,end_date,status,ip_address,progress,duration_in_seconds,finished,recorded_date,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distribution_channel,user_language,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,list,block,phase,item,sensibility,concreteness,type,direction,text,correct_response,correct_response_2,correct,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,consent
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,fixation_cross,canvas.Screen,1_3_0,end_fixation,keypress(Space),response,171.75999999999476,93689,93690.58,93725.24,93897,93901,2020-11-18T12:04:53Z,93925.26,NA,NA,prac,3,nonsense,NA,transfer,NA,Stephen sent you the alpha.,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,sentence_screen,canvas.Screen,1_3_1,w,keypress(w),response,131.74000000000524,93901,93908.04,93925.26,94057,94061,2020-11-18T12:04:53Z,94091.52,NA,NA,prac,3,nonsense,NA,transfer,NA,Stephen sent you the alpha.,s,s,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,trial,flow.Sequence,1_3,NA,NA,completion,331.75999999999476,93689,93690.58,93725.24,94057,94062,2020-11-18T12:04:53Z,94091.52,NA,NA,prac,3,nonsense,NA,transfer,NA,Stephen sent you the alpha.,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,practice_loop,flow.Loop,1,NA,NA,completion,4249.039999999994,89772,89772.88,89807.96,94057,94062,2020-11-18T12:04:53Z,94091.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,instruction_block_1,canvas.Screen,2,end_instructions,keypress(Space),response,429.4799999999959,94062,94074.54,94091.52,94521,94525,2020-11-18T12:04:53Z,94558.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,fixation_cross,canvas.Screen,3_0_0,end_fixation,keypress(Space),response,694.820000000007,94525,94525.96,94558.18,95253,95257,2020-11-18T12:04:54Z,95291.94,4,1,exp,187,nonsense,transfer,NA,NA,Kashus pounded you the sunglasses.,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,sentence_screen,canvas.Screen,3_0_1,w,keypress(w),response,345.0599999999977,95257,95257.66,95291.94,95637,95640,2020-11-18T12:04:54Z,95674.54,4,1,exp,187,nonsense,transfer,NA,NA,Kashus pounded you the sunglasses.,w,w,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,trial,flow.Sequence,3_0,NA,NA,completion,1078.820000000007,94525,94525.96,94558.18,95637,95642,2020-11-18T12:04:54Z,95674.54,4,1,exp,187,nonsense,transfer,NA,NA,Kashus pounded you the sunglasses.,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,fixation_cross,canvas.Screen,3_1_0,end_fixation,keypress(Space),response,290.4600000000064,95642,95642.24,95674.54,95965,95969,2020-11-18T12:04:55Z,95991.3,4,1,exp,69,sensible,concrete,no_transfer,NA,Tre looked at the land with you.,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,sentence_screen,canvas.Screen,3_1_1,s,keypress(s),response,305.6999999999971,95969,95965.58,95991.3,96297,96300,2020-11-18T12:04:55Z,96341.14,4,1,exp,69,sensible,concrete,no_transfer,NA,Tre looked at the land with you.,s,s,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
